Ticker,Name,Price,IV %,Trend,SMA 50,SMA 200,P/S,Fwd P/E,Avg Vol (M),Earnings
BHC,BAUSCH HEALTH COS INC COM,6.88,57.8,UP,6.51,6.23,0.25,1.64,2.32,N/A
BIDU,BAIDU INC SPON ADR REP A,123.82,36.1,UP,121.67,101.86,0.33,15.13,4.14,N/A
BIIB,BIOGEN INC COM,174.8,32.4,UP,162.95,140.07,2.55,11.48,2.05,N/A
BILI,BILIBILI INC SPONS ADS REP Z,24.78,52.9,FLAT,26.96,22.89,0.34,22.09,2.42,N/A
BILL,BILL HOLDINGS INC COM,55.98,40.5,UP,50.61,47.07,3.75,21.83,2.63,N/A
BITF,BITFARMS LTD COM,2.53,100.0,FLAT,3.55,1.88,5.47,-63.25,86.71,N/A
BITO,PROSHARES TR BITCOIN ETF,0,440.6,N/A,15.52,19.25,0,0,29.43,N/A
BITX,2x Bitcoin Strategy ETF,0,240.6,N/A,39.13,48.82,0,0,11.03,N/A
BKKT,BAKKT HOLDINGS INC COM CL A NEW,10.56,110.5,FLAT,21.31,15.49,0.07,11.0,2.72,N/A
BKNG,BOOKING HOLDINGS INC COM,5393.74,25.9,FLAT,5082.63,5218.15,6.71,20.32,0.28,N/A
BKSY,BLACKSKY TECHNOLOGY INC CL A NEW,19.25,199.6,FLAT,19.45,16.15,6.81,-17.91,1.93,N/A
BLK,BLACKROCK INC COM,1060.17,19.8,FLAT,1084.66,1043.03,7.19,19.73,0.65,N/A
BLSH,BULLISH ORD SHS,44.6,76.8,DOWN,47.31,53.98,33.81,65.52,2.82,N/A
BMNR,BITMINE IMMERSION TECNOLOGIES COM NEW,31.36,93.3,DOWN,39.71,41.71,2191.04,0,46.33,N/A
BMY,BRISTOL-MYERS SQUIBB CO COM,54.19,25.0,FLAT,47.61,48.78,2.3,9.04,17.05,N/A
BOIL,PROSHARES TR II ULTRA BLOOMBERG,0,171.1,N/A,31.41,45.14,0,0,8.22,N/A
BP,BP PLC SPONSORED ADR,33.94,20.7,FLAT,35.26,32.69,0.47,11.74,6.94,N/A
BROS,DUTCH BROS INC CL A,64.83,40.1,FLAT,56.87,61.85,6.94,71.81,3.89,N/A
BRR,PROCAP FINL INC COM SHS,3.09,826.6,DOWN,8.34,9.74,0,0,0.95,N/A
BSX,BOSTON SCIENTIFIC CORP COM,95.61,22.1,DOWN,98.53,100.96,7.33,27.56,9.81,N/A
BTBT,BIT DIGITAL INC SHS,2.23,250.0,FLAT,2.9,2.71,6.83,N/A,37.81,N/A
BTDR,BITDEER TECHNOLOGIES GROUP CL A ORD SHS,11.01,92.6,FLAT,16.33,13.71,5.26,15.38,8.25,N/A
BTG,B2GOLD CORP COM,4.54,66.4,FLAT,4.59,3.86,2.42,5.99,45.82,N/A
BTU,PEABODY ENERGY CORP COM,30.87,50.5,UP,29.02,19.29,0.95,11.09,4.38,N/A
BUD,ANHEUSER BUSCH INBEV SA/NV SPONSORED ADR,64.49,23.7,FLAT,62.15,63.88,2.14,15.41,2.09,N/A
BULL,WEBULL CORP ORD SHS,8.57,54.7,DOWN,9.83,13.14,8.35,47.61,24.23,N/A
BURL,BURLINGTON STORES INC COM,278.76,34.3,UP,270.69,257.63,1.57,25.09,1.06,N/A
BX,BLACKSTONE INC COM,151.59,29.3,FLAT,149.63,152.89,14.54,23.58,4.21,N/A
BYND,BEYOND MEAT INC COM,1.11,134.4,DOWN,1.33,2.54,1.73,-2.34,202.03,N/A
