Ticker,Name,Price,IV %,Trend,SMA 50,SMA 200,P/S,Fwd P/E,Avg Vol (M),Earnings
BE,BLOOM ENERGY CORP COM CL A,118.09,104.9,UP,106.49,48.81,15.36,319.16,15.2,N/A
BEKE,KE HLDGS INC SPONSORED ADS,16.8,53.9,DOWN,17.63,19.1,0.19,14.48,5.24,N/A
BHC,BAUSCH HEALTH COS INC COM,7.38,69.5,UP,6.43,6.25,0.27,1.67,2.27,N/A
BIDU,BAIDU INC SPON ADR REP A,118.72,36.3,SIDEWAYS,124.6,99.8,0.32,10.71,5.29,N/A
BIIB,BIOGEN INC COM,181.98,42.7,UP,156.99,138.01,2.65,10.92,1.8,N/A
BILI,BILIBILI INC SPONS ADS REP Z,25.7,46.5,SIDEWAYS,27.65,22.66,0.36,42.13,2.94,N/A
BILL,BILL HOLDINGS INC COM,52.67,58.0,UP,50.33,46.99,3.52,25.44,2.98,N/A
BITF,BITFARMS LTD COM,3.1,107.8,SIDEWAYS,3.65,1.79,6.71,155.0,99.57,N/A
BITO,PROSHARES TR BITCOIN ETF,0,650.0,SIDEWAYS,15.62,19.69,N/A,N/A,22.98,N/A
BITX,2x Bitcoin Strategy ETF,0,935.9,SIDEWAYS,44.52,49.72,N/A,N/A,9.98,N/A
BKKT,BAKKT HOLDINGS INC COM CL A NEW,15.6,81.3,SIDEWAYS,26.16,15.58,0.1,-6.58,2.74,N/A
BKNG,BOOKING HOLDINGS INC COM,5027.2,24.8,DOWN,5097.68,5199.14,6.26,23.96,0.26,N/A
BKSY,BLACKSKY TECHNOLOGY INC CL A NEW,19.25,131.6,SIDEWAYS,20.84,15.93,6.81,-12.26,2.06,N/A
BLK,BLACKROCK INC COM,1075.58,11.7,SIDEWAYS,1103.96,1036.46,7.29,21.91,0.64,N/A
BLSH,BULLISH ORD SHS,48.42,61.5,DOWN,51.78,55.39,36.7,72.09,3.4,N/A
BMNR,BITMINE IMMERSION TECNOLOGIES COM NEW,36.32,69.9,SIDEWAYS,44.47,42.42,2288.65,N/A,46.14,N/A
BMY,BRISTOL-MYERS SQUIBB CO COM,51.95,18.6,SIDEWAYS,45.85,49.12,2.2,7.39,16.04,N/A
BOIL,PROSHARES TR II ULTRA BLOOMBERG,0,649.2,SIDEWAYS,31.45,48.72,N/A,N/A,7.27,N/A
BP,BP PLC SPONSORED ADR,37.23,25.6,UP,34.85,32.56,0.51,9.88,6.52,N/A
BROS,DUTCH BROS INC CL A,60.89,44.6,SIDEWAYS,54.59,62.71,6.52,112.76,4.09,N/A
BSX,BOSTON SCIENTIFIC CORP COM,97.72,23.5,DOWN,99.23,101.51,7.49,35.03,9.56,N/A
BTBT,BIT DIGITAL INC SHS,2.38,96.9,SIDEWAYS,3.17,2.73,7.29,15.87,37.55,N/A
BTDR,BITDEER TECHNOLOGIES GROUP CL A ORD SHS,12.65,181.3,SIDEWAYS,18.0,13.76,6.04,43.62,8.21,N/A
BTG,B2GOLD CORP COM,4.56,68.8,SIDEWAYS,4.7,3.75,2.43,10.36,49.48,N/A
BTU,PEABODY ENERGY CORP COM,29.51,64.3,UP,29.01,18.4,0.91,11.01,4.74,N/A
BUD,ANHEUSER BUSCH INBEV SA/NV SPONSORED ADR,60.97,25.8,DOWN,61.34,63.56,2.03,16.3,2.11,N/A
BULL,WEBULL CORP ORD SHS,9.62,52.3,DOWN,10.91,13.29,9.38,53.44,23.07,N/A
BURL,BURLINGTON STORES INC COM,256.87,31.6,SIDEWAYS,268.75,256.04,1.44,26.7,1.04,N/A
BX,BLACKSTONE INC COM,151.39,26.1,DOWN,152.34,153.16,14.52,25.97,4.12,N/A
BYND,BEYOND MEAT INC COM,1.24,187.5,DOWN,1.59,2.68,1.94,-0.81,193.1,N/A
C,CITIGROUP INC COM NEW,107.79,21.3,UP,99.68,85.84,2.63,14.99,12.82,N/A
CAG,CONAGRA BRANDS INC COM,16.95,24.6,DOWN,17.72,21.19,0.71,6.3,10.88,N/A
CAH,CARDINAL HEALTH INC COM,199.19,26.7,UP,180.38,155.26,0.2,23.05,2.48,N/A
CAR,AVIS BUDGET GROUP COM,133.85,72.7,SIDEWAYS,144.11,129.84,0.4,11.73,0.81,N/A
CART,MAPLEBEAR INC COM,43.13,41.8,SIDEWAYS,39.33,43.07,3.13,32.19,6.29,N/A
CAT,CATERPILLAR INC COM,599.15,29.4,UP,536.98,411.16,4.34,27.05,2.86,N/A
CAVA,CAVA GROUP INC COM,54.48,54.6,DOWN,56.15,76.16,5.58,108.96,4.41,N/A
CBOE,"Cboe Global Markets, Inc.",254.92,31.1,UP,247.24,232.57,5.78,27.77,0.77,N/A
CC,CHEMOURS CO COM,12.54,75.8,SIDEWAYS,13.24,13.21,0.32,5.43,3.01,N/A
CCCX,CHURCHILL CAP CORP X SHS CL A,15.28,65.2,SIDEWAYS,17.15,13.52,N/A,N/A,4.65,N/A
CCJ,CAMECO CORP COM,94.09,53.1,UP,89.04,67.76,11.86,79.74,5.2,N/A
CCL,CARNIVAL CORP PAIRED CTF,25.82,28.5,SIDEWAYS,27.65,25.62,1.33,15.01,22.48,N/A
CDE,COEUR MNG INC COM NEW,16.1,57.4,SIDEWAYS,17.45,10.93,6.08,25.56,17.26,N/A
CDNS,CADENCE DESIGN SYSTEM INC COM,337.3,34.5,UP,329.6,310.58,17.63,49.24,1.89,N/A
CEG,CONSTELLATION ENERGY CORP COM,368.62,45.3,UP,362.05,301.26,4.64,41.19,2.64,N/A
CELH,CELSIUS HLDGS INC COM NEW,42.66,37.1,SIDEWAYS,53.07,44.89,5.17,43.53,6.4,N/A
CF,CF INDS HLDGS INC COM,80.23,28.7,DOWN,84.05,85.09,1.93,12.98,2.46,N/A
CGC,CANOPY GROWTH CORP COM NEW,1.21,50.0,DOWN,1.27,1.29,1.6,-1.57,22.56,N/A
CHPT,CHARGEPOINT HOLDINGS INC COM SHS,8.52,205.5,DOWN,10.11,12.06,0.5,-44.84,0.45,N/A
CHTR,CHARTER COMMUNICATIONS INC NEW CL A,199.98,51.0,DOWN,234.98,320.52,0.5,5.59,1.99,N/A
CHWY,CHEWY INC CL A,33.29,38.1,DOWN,35.65,37.59,1.12,55.48,7.66,N/A
CI,THE CIGNA GROUP COM,268.42,39.4,DOWN,283.69,304.03,0.27,8.57,1.93,N/A
CIEN,CIENA CORP COM NEW,195.73,75.0,UP,178.64,105.94,6.09,71.96,2.91,N/A
CIFR,CIPHER MINING INC COM,19.83,90.2,UP,17.64,8.01,37.95,40.47,51.75,N/A
