Ticker,Name,Price,IV %,Trend,P/S,Fwd P/E,Avg Vol (M),Earnings
COHR,COHERENT CORP COM,193.4,0.0,UP,5.03,30.5,4.22,N/A
COIN,COINBASE GLOBAL INC COM CL A,274.78,0.8,DOWN,10.05,39.25,9.73,N/A
COMM,COMMSCOPE HLDG CO INC COM,19.87,6.3,UP,0.83,10.68,4.82,N/A
CONL,GRANITESHARES ETF TR 2X LONG COIN DAI,0,0.0,Down,0,0,6.33,N/A
COP,CONOCOPHILLIPS COM,96.74,1.6,UP,1.97,15.51,6.78,N/A
CORZ,CORE SCIENTIFIC INC NEW COM,17.39,6.3,UP,16.13,56.1,15.51,N/A
COST,COSTCO WHSL CORP NEW COM,881.73,0.0,DOWN,1.42,39.89,2.54,N/A
CPB,THE CAMPBELLS COMPANY COM,28.73,0.0,DOWN,0.84,10.93,5.99,N/A
CPNG,COUPANG INC CL A,25.935,1.6,DOWN,1.41,49.87,10.86,N/A
CRCL,CIRCLE INTERNET GROUP INC COM CL A,89.265,0.0,DOWN,9.42,70.11,13.97,N/A
CRDO,CREDO TECHNOLOGY GROUP HOLDING ORDINARY SHARES,148.445,0.0,UP,33.68,39.84,6.34,N/A
CRH,CRH PLC ORD,127.37,0.0,UP,2.31,21.03,4.51,N/A
CRM,SALESFORCE INC COM,263.72,0.0,UP,6.23,20.2,8.62,N/A
CRML,CRITICAL METALS CORP PUBCO ORD SHS,9.735,0.0,UP,2043.89,0,16.91,N/A
CROX,CROCS INC COM,91.01,0.0,DOWN,1.22,7.61,1.87,N/A
CRSP,CRISPR THERAPEUTICS AG NAMEN AKT,57.9792,0.4,UP,144.13,-13.0,2.54,N/A
CRWD,CROWDSTRIKE HLDGS INC CL A,511.82,0.8,UP,28.26,105.87,2.63,N/A
CRWV,COREWEAVE INC COM CL A,86.3,0.0,DOWN,9.99,-307.76,29.66,N/A
CSCO,CISCO SYS INC COM,78.93,0.8,UP,5.41,17.67,20.46,N/A
CSIQ,CANADIAN SOLAR INC COM,24.7,0.0,UP,0.28,-153.26,4.58,N/A
CSX,CSX CORP COM,37.26,3.1,UP,4.92,19.56,14.29,N/A
CTAS,CINTAS CORP COM,188.05,0.0,DOWN,7.18,35.1,2.15,N/A
CTRA,COTERRA ENERGY INC COM,26.73,0.0,UP,3.06,10.27,9.02,N/A
CVNA,CARVANA CO CL A,478.6467,0.0,UP,5.68,64.55,3.41,N/A
CVS,CVS HEALTH CORP COM,80.72,3.1,UP,0.26,11.27,7.61,N/A
CVX,CHEVRON CORP NEW COM,150.51,0.0,DOWN,1.61,19.63,7.75,N/A
CZR,CAESARS ENTERTAINMENT INC NEW COM,24.83,6.3,DOWN,0.45,40.97,9.39,N/A
DAL,DELTA AIR LINES INC DEL COM NEW,71.2374,0.0,UP,0.74,9.95,8.56,N/A
DASH,DOORDASH INC CL A,227.02,1.6,UP,7.74,37.16,4.95,N/A
DBRG,DIGITALBRIDGE GROUP INC CL A NEW,15.195,0.0,UP,29.52,37.99,4.46,N/A
DBX,DROPBOX INC CL A,27.985,0.8,DOWN,2.89,9.35,3.44,N/A
DDD,3-D SYS CORP DEL COM NEW,2.0408,0.0,DOWN,0.67,-6.28,3.93,N/A
DDOG,DATADOG INC CL A COM,149.4425,0.0,UP,16.32,63.75,4.51,N/A
DE,DEERE & CO COM,481.98,0.8,DOWN,2.85,21.29,1.43,N/A
DECK,DECKERS OUTDOOR CORP COM,102.36,0.0,DOWN,2.9,14.94,3.96,N/A
DELL,DELL TECHNOLOGIES INC CL C,138.01,0.0,UP,0.89,12.04,7.34,N/A
DFDV,DEFI DEVELOPMENT CORP COM,6.24,0.0,DOWN,26.03,-18.91,1.79,N/A
DG,DOLLAR GEN CORP NEW COM,131.82,0.8,UP,0.69,18.7,3.44,N/A
DHI,D R HORTON INC COM,155.94,0.0,UP,1.33,11.62,3.25,N/A
DHR,DANAHER CORPORATION COM,232.175,0.8,UP,6.85,27.57,4.21,N/A
DIA,SPDR DOW JONES INDL AVERAGE ET UT SER 1,0,0.0,Down,0,0,6.53,N/A
DIS,DISNEY WALT CO COM,113.11,0.0,UP,2.15,15.37,10.09,N/A
DJT,TRUMP MEDIA & TECHNOLOGY GROUP COM,10.9382,6.3,DOWN,832.72,0,6.06,N/A
DKNG,DRAFTKINGS INC NEW COM CL A,36.09,0.0,DOWN,3.29,21.97,17.1,N/A
DLR,DIGITAL RLTY TR INC COM,159.02,3.1,DOWN,9.52,43.99,1.69,N/A
DLTR,DOLLAR TREE INC COM,128.96,6.3,UP,1.39,19.29,4.28,N/A
DNN,DENISON MINES CORP COM,2.735,0.0,UP,504.33,-56.57,83.14,N/A
DNUT,KRISPY KREME INC COM,4.49,3.1,UP,0.5,-46.85,7.97,N/A
DOCN,DIGITALOCEAN HLDGS INC COM,49.31,3.1,UP,5.22,25.04,2.72,N/A
DOCU,DOCUSIGN INC COM,70.35,0.0,DOWN,4.46,17.05,2.98,N/A
DOW,DOW INC COM,24.69,0.0,DOWN,0.43,-497.88,13.07,N/A
DPST,DIREXION SHS ETF TR DAILY REGIONAL,0,0.0,Down,0,0,0.97,N/A
DUOL,DUOLINGO INC CL A COM,206.62,3.1,DOWN,9.91,26.05,1.86,N/A
DVN,DEVON ENERGY CORP NEW COM,37.7,0.0,UP,1.45,9.01,7.85,N/A
DXCM,DEXCOM INC COM,68.16,0.0,DOWN,5.92,27.4,6.55,N/A
EA,ELECTRONIC ARTS INC COM,203.635,3.1,UP,6.99,21.99,3.3,N/A
EBAY,EBAY INC. COM,85.27,0.0,UP,3.64,14.63,5.31,N/A
EEM,ISHARES TR MSCI EMG MKT ETF,0,0.0,Down,0,0,26.48,N/A
EFA,ISHARES TR MSCI EAFE ETF,0,0.0,Down,0,0,16.04,N/A
EH,EHANG HLDGS LTD ADS,14.35,6.3,DOWN,2.4,45.13,1.21,N/A
EL,LAUDER ESTEE COS INC CL A,105.235,0.0,UP,2.63,36.02,3.53,N/A
ELF,E L F BEAUTY INC COM,78.46,0.0,DOWN,3.38,22.27,2.27,N/A
EMB,ISHARES TR JPMORGAN USD EMG,0,6.3,Down,0,0,7.12,N/A
EMR,EMERSON ELEC CO COM,139.925,0.4,UP,4.37,19.74,2.73,N/A
ENPH,ENPHASE ENERGY INC COM,33.1,0.0,DOWN,2.86,15.79,8.01,N/A
ENVX,ENOVIX CORPORATION COM,8.975,3.1,DOWN,64.53,-14.96,7.61,N/A
EOG,EOG RES INC COM,109.5,0.0,DOWN,2.64,10.25,3.98,N/A
EOSE,EOS ENERGY ENTERPRISES INC COM CL A,15.82,6.3,UP,80.8,-83.26,24.19,N/A
EPD,ENTERPRISE PRODS PARTNERS L P COM,32.165,0.0,UP,1.31,11.23,4.05,N/A
EQT,EQT CORP COM,55.71,3.1,UP,4.51,12.7,8.4,N/A
ET,ENERGY TRANSFER L P COM UT LTD PTN,16.5,0.2,DOWN,0.71,11.76,14.38,N/A
ETH,GRAYSCALE ETHEREUM MINI TR ETF SHS NEW,0,0.0,Down,0,0,7.01,N/A
ETHA,ISHARES ETHEREUM TR SHS,0,0.0,Down,0,0,51.2,N/A
ETHE,GRAYSCALE ETHEREUM TRUST ETF SHS,0,0.0,Down,0,0,6.84,N/A
ETHU,2x Ether ETF,0,0.0,Down,0,0,7.24,N/A
ETN,EATON CORP PLC SHS,342.32,0.0,UP,5.0,24.97,2.52,N/A
ETSY,ETSY INC COM,53.775,3.1,DOWN,1.87,11.48,4.88,N/A
EWJ,ISHARES INC MSCI JAPAN ETF,0,0.0,Down,0,0,6.01,N/A
EWZ,ISHARES INC MSCI BRAZIL ETF,0,0.0,Down,0,0,27.8,N/A
EXPE,EXPEDIA GROUP INC COM NEW,280.095,0.0,UP,2.41,15.72,2.12,N/A
F,FORD MTR CO COM,13.8,12.5,UP,0.29,9.35,92.68,N/A
FAS,DIREXION SHS ETF TR DLY FIN BULL NEW,0,0.0,Down,0,0,0.56,N/A
FBTC,Fidelity Wise Origin Bitcoin Fund,0,0.0,Down,0,0,6.19,N/A
FCEL,FUELCELL ENERGY INC COM NEW,8.76,25.0,UP,2.74,-2.93,3.79,N/A
FCX,FREEPORT-MCMORAN INC CL B,48.72,3.1,UP,2.69,22.56,19.4,N/A
FDX,FEDEX CORP COM,287.0275,0.8,UP,0.76,13.72,1.83,N/A
FEZ,SPDR INDEX SHS FDS EURO STOXX 50,0,0.0,Down,0,0,1.34,N/A
FFAI,FARADAY FUTURE INTLGT ELEC INC COM NEW CL A,1.115,0.0,DOWN,294.05,-0.57,7.45,N/A
FHN,FIRST HORIZON CORPORATION COM,23.8,6.3,UP,3.8,12.19,10.94,N/A
FIG,FIGMA INC CLASS A COM STK,38.145,0.0,DOWN,19.51,163.56,9.43,N/A
FIS,FIDELITY NATL INFORMATION SVCS COM,67.45,0.0,DOWN,3.37,10.66,3.82,N/A
FISV,FISERV INC COM,69.04,0.0,DOWN,0,8.26,9.97,N/A
